"","vectoriza"
"X180200",40.6658280922432
"X180310",37.4199342375668
"X180320",38.0759120673527
"X180400",37.5648664343786
"X180500",36.9949789191261
"X180610",33.7730589070263
"X180620",30.4613914203156
"X180631",32.0644430459408
"X180632",32.6990231812218
"X180690",32.6942497261774
"X190110",32.2683789677732
"X190120",32.9488585405626
"X190190",32.6491218826835
"X190211",34.8206644518272
"X190219",36.6116747070986
"X190220",32.8978402229447
"X190230",34.3707461255792
"X190240",32.1214686098655
"X190300",39.6494029190624
"X190410",35.3722099751998
"X190490",35.9451475116718
"X190510",33.4115017361111
"X190520",32.2146458397773
"X190530",34.8693003751931
"X190540",34.5486203157007
"X190590",34.5657270632877
"X200110",34.0382716049383
"X200120",NA
"X200190",37.1784678522572
"X200210",34.2510644337213
"X200290",35.1983487570314
"X200310",32.3288888888889
"X200320",NA
"X200410",32.135230197312
"X200490",35.8096142193496
"X200510",32.2869381926974
"X200520",34.3206374160354
"X200530",NA
"X200540",30.9389064618165
"X200551",35.818282078473
"X200559",39.7335267302114
"X200560",41.2394443572438
"X200570",34.1921898171033
"X200580",31.1562877103843
"X200590",35.7598552894212
"X200600",32.8896257836991
"X200710",36.4339132257388
"X200791",33.2449247845772
"X200799",35.3469894870978
"X200811",38.9228832017424
"X200819",36.3758171636932
"X200820",36.8980129459582
"X200830",41.7447901234568
"X200840",35.4865033741565
"X200850",33.2954457463067
"X200860",34.4174023832721
"X200870",34.2904895939952
"X200880",31.9998136761692
"X200891",44.8793834479488
"X200892",34.7065604151223
"X200899",40.7675194985057
"X200911",46.6776915036584
"X200919",45.2886576168929
"X200920",39.572660593872
"X200930",40.43402485749
"X200940",45.1538951533135
"X200950",33.3712743709101
"X200960",39.4001492722976
"X200970",29.57452894827
"X200980",37.8674557410218
"X200990",33.5471227295875
"X20110",31.2779184735473
"X20120",29.1575200918485
"X20130",41.7914907050158
"X20210",29.9512925684063
"X20220",39.2679116929791
"X20230",42.7379526753754
"X20311",29.2203525954946
"X20312",30.2191910499139
"X20319",31.1848120764017
"X20321",36.3471286370597
"X20322",33.1756053811659
"X20329",35.8126936531734
"X20410",33.1390972878154
"X20421",31.1375301954469
"X20422",33.1715217897926
"X20423",30.7502613480055
"X20430",38.3540587833219
"X20441",30.9689045146649
"X20442",38.6448136879124
"X20443",37.3288656830811
"X20450",33.7486717517096
"X20500",38.3875595340564
